"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 07:48:51 MSK 2024","Sun Jan 14 07:48:53 MSK 2024","2532","Sample Test Suite","Sample Test","tests.BuzzTest","tests.BuzzTest","openBuzz","openBuzz",""
"failed","Sun Jan 14 07:48:53 MSK 2024","Sun Jan 14 07:48:58 MSK 2024","4448","Sample Test Suite","Sample Test","tests.BuzzTest","tests.BuzzTest","openMostLikedPosts","openMostLikedPosts",""
